model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.4,False,0.7642000257968903
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.4,False,0.7872000455856323
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.4,False,0.7956000328063965
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.4,False,0.7956000387668609
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.4,False,0.8110000312328338
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.4,False,0.8162000358104706
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.4,False,0.7582000255584717
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.4,False,0.7912000417709351
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.4,False,0.7966000318527222
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.4,False,0.7964000403881073
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.4,False,0.809600043296814
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.4,False,0.8166000485420227
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.5,False,0.7448000311851501
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.5,False,0.7788000285625458
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.5,False,0.7930000305175782
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.5,False,0.7934000313282012
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.5,False,0.804200041294098
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.5,False,0.8124000430107117
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.5,False,0.7468000292778015
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.5,False,0.7832000374794006
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.5,False,0.7928000390529633
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.5,False,0.7906000316143036
