model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.1,False,0.8058000326156616
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.1,False,0.8118000328540802
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.1,False,0.8012000381946563
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.1,False,0.7972000420093537
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.1,False,0.8156000375747681
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.1,False,0.809600031375885
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.1,False,0.7884000480175019
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.1,False,0.8094000399112702
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.1,False,0.8150000393390655
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.1,False,0.7850000381469726
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.1,False,0.7996000349521637
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.1,False,0.8192000329494477
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.2,False,0.7956000387668609
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.2,False,0.776000028848648
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.2,False,0.744400030374527
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.2,False,0.80840003490448
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.2,False,0.8088000357151032
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.2,False,0.804600042104721
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.2,False,0.8022000372409821
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.2,False,0.8164000391960144
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.2,False,0.8136000394821167
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.2,False,0.7956000328063965
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.2,False,0.8160000383853913
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.2,False,0.8136000335216522
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.2,False,0.7952000319957733
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.2,False,0.8086000323295593
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.2,False,0.8174000442028045
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.2,False,0.7868000328540802
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.2,False,0.8012000381946563
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.2,False,0.8176000356674195
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.3,False,0.8092000365257264
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.3,False,0.799800044298172
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.3,False,0.7736000299453736
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.3,False,0.8028000295162201
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.3,False,0.8152000367641449
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.3,False,0.8050000429153442
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.3,False,0.8018000364303589
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.3,False,0.8182000339031219
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.3,False,0.8194000363349915
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.3,False,0.7980000257492066
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.3,False,0.8212000489234924
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.3,False,0.8226000487804412
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.3,False,0.7896000385284424
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.3,False,0.8114000380039215
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.3,False,0.8258000433444976
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.3,False,0.7944000244140625
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.3,False,0.8036000311374665
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.3,False,0.8176000475883484
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.4,False,0.813200044631958
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.4,False,0.8102000415325165
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.4,False,0.7918000280857086
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.4,False,0.8056000411510468
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.4,False,0.8214000403881073
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.4,False,0.8092000424861908
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.4,False,0.8012000381946563
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.4,False,0.8246000349521637
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.4,False,0.8214000344276429
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.4,False,0.7972000300884247
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.4,False,0.8186000466346741
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.4,False,0.8220000386238098
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.4,False,0.7920000314712524
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.4,False,0.8158000349998474
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.4,False,0.8216000378131867
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.4,False,0.7928000450134277
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.4,False,0.8056000411510468
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.4,False,0.8216000378131867
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.5,False,0.8158000409603119
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.5,False,0.8146000325679779
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.5,False,0.7966000318527222
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.5,False,0.806400042772293
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.5,False,0.8250000417232514
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.5,False,0.8160000324249268
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.5,False,0.7986000299453735
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.5,False,0.8234000384807587
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.5,False,0.8234000444412232
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.5,False,0.7972000479698181
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.5,False,0.8214000403881073
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.5,False,0.827800041437149
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.5,False,0.7890000402927398
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.5,False,0.813800036907196
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.5,False,0.8238000452518464
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.5,False,0.788800036907196
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.5,False,0.8008000314235687
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.5,False,0.8208000421524048
